ID	type	address	area	rooms	sqm_price	description
371	building	"al. Irysowa 395
84-969 Rumia"	103	7	5550	Powstanie samochodowy podczas most.
372	building	"aleja Krasińskiego 20
85-814 Pszczyna"	123	9	8740	Żeński jeździć nieprzyjemny nastrój szczęście. A w celu pytać.
373	building	"aleja Kruczkowskiego 59/46
95-036 Zabrze"	87	6	5199	Pierś ku sześćdziesiąt prosty. Jeżeli pora pomieszczenie drzewo czynić policjant okazja.
374	flat	"pl. Kaliska 42/66
70-748 Piekary Śląskie"	26	2	9329	Naród twój norma koszula organ sprzęt. Trzeci czyn udział.
375	flat	"plac Korczaka 017
59-570 Pruszcz Gdański"	39	3	11570	Budowla oni dokument przepis czwarty element. Rzadki stopień ssak pałac miły stracić.
376	building	"pl. Lwowska 53
74-695 Łomża"	149	10	5675	Służyć las niektóry dla jeden dziura majątek. Złoto dostęp pierś zostać wieś ponad podłoga.
377	flat	"ul. Bociania 716
49-104 Chojnice"	27	2	8091	Kobiecy Austria dzisiaj dziadek pokarm dusza jajko. Korona miasto piasek smutek.
378	flat	"aleja Błękitna 684
43-673 Goleniów"	38	3	11852	Trzeci dolny drzewo klub. Produkować ogólny lampa.
379	building	"plac Głowackiego 050
61-776 Bielawa"	147	9	9644	Uderzyć strumień pewien zakon nadzieja sukienka. Do kiedy mocno broń azjatycki.
380	flat	"aleja Staszica 28/31
29-817 Bielsk Podlaski"	62	5	10833	Przeciwko polegać ku lek owca. Naukowiec film silny aby wybitny. Zero skończyć zwolennik ściana.
381	flat	"al. Głogowa 75
79-959 Knurów"	55	5	10521	Wskazywać wymagać wrzesień mieszkać bić zawodnik zły.
382	building	"aleja Żabia 34/43
78-707 Wałbrzych"	134	9	5799	Żydowski gospodarka jesień procent sos komputer. Włosy płynąć w wyniku następować.
383	building	"ulica Stefana Batorego 31/38
35-889 Piekary Śląskie"	97	6	7797	Kapelusz hotel dzielić wygląd żywy. Obcy umrzeć wejść płaski rozmowa październik minuta.
384	flat	"plac Kolonia 586
66-808 Koło"	51	4	9319	Babka stosować dużo proces byk odzież zostać sobie. Wartość zamek położyć wejście 30.
385	building	"aleja Plater 48
50-129 Płońsk"	140	9	9281	Niedźwiedź oznaczać powodować. Korona jutro panna musieć starożytny wzór śmiać się.
386	building	"ul. Kaszubska 75/99
17-731 Jasło"	131	9	7705	Zawodowy godzina wszyscy 5 układ następny śmiać się. Kosztować zwłaszcza płyn odległość jądro.
387	building	"plac Słonecznikowa 237
20-609 Otwock"	150	10	7857	Węgiel włoski Włochy ziemski żyć pożar. Przyrząd kij partia jeść pracownik.
388	building	"al. Lipca 77
45-113 Piastów"	107	7	8958	Pacjent napój niewolnik praca.
389	building	"plac Rzeczna 70
11-005 Świętochłowice"	77	5	6333	Nieść gdzie po dać lecz obóz zaraz model.
390	building	"al. Kolorowa 27
59-709 Czeladź"	124	8	7244	Blady piec rzucać punkt produkować kraina pierwszy obcy. Niektóry dodawać otaczać pokryć.
391	building	"al. Lipowa 03/63
25-210 Bielsk Podlaski"	144	10	5804	Z Powodu wszystko kolano duch skrzydło prąd. 30 całkowity interes minerał.
392	building	"pl. Sokola 063
16-249 Łuków"	103	7	8832	Naturalny przemysł piasek kłopot policja narodowy. Waga dawno broń drapieżny obcy zgodnie lis.
393	building	"plac Grzybowa 964
40-377 Sosnowiec"	85	6	9600	Prezent miejski krzyż. Spodnie rodowity dać Polak.
394	flat	"al. Strażacka 69/60
30-898 Bielawa"	35	3	9958	Włos (…) nadmierny wieczór strona komputer ciało. Zewnętrzny Jan zupa niebieski.
395	flat	"aleja Jesionowa 14/27
27-958 Ostrowiec Świętokrzyski"	24	2	8888	Zaburzenie postać armia gniew jeden klasztor doprowadzić. Analiza futro fizyczny potrzebować.
396	building	"ul. Plater 78/66
27-784 Łuków"	94	6	9270	Kultura widoczny wschodni zajęcie.
397	building	"ulica Kraszewskiego 04/22
41-002 Wejherowo"	153	10	7905	Oznaczać los późny wino znak. Psychiczny przestępstwo byk wspomnienie myśleć.
398	building	"plac Norwida 29/06
58-832 Giżycko"	136	10	6069	"Domowy fotografia plaża region sędzia.
Pamiętać czerwiec dawno zaczynać delikatny."
399	building	"plac Lazurowa 52/22
50-504 Jarocin"	96	7	9180	Telefon budować część znaczyć. Wartość zamiar własność podnieść. Kraj chłopak złożony.
400	building	"ulica Sosnowa 573
33-770 Płońsk"	74	5	7741	Trwać Rosja około ty biskup ochrona. Wyjście hałas gorący graniczyć.
401	building	"pl. Pałacowa 17/42
44-937 Tomaszów Mazowiecki"	93	6	5125	Górski pająk piętro !. Barwa Szwajcaria taniec zaś miejscowość. Siła lód metalowy cisza.
402	flat	"ul. Kalinowa 71
19-304 Ząbki"	55	4	11106	Wilk amharski park kierować. U naukowiec głupi -.
403	building	"aleja Pałacowa 32
41-564 Żagań"	79	6	9059	Narodowość blady 900 biskup gatunek warzywo ciągle. Naród niektóry pijany jeść łóżko prędkość.
404	building	"pl. Bankowa 02/11
46-919 Czechowice-Dziedzice"	126	9	7921	"Narodowy przecież miecz lista.
Widok uśmiech uciekać."
405	building	"ul. Bałtycka 03
41-718 Jawor"	109	8	7540	Świeży lista dodatkowy temu. Język mieć łóżko komputerowy głośny wysoko. Przyjąć nagły szybko dać.
406	building	"al. Rajska 70/01
71-133 Kalisz"	90	6	9443	Rodzina bronić sieć ser mój wódka radio.
407	flat	"ul. Zamkowa 71/82
31-454 Nysa"	23	2	9232	Burza zbiornik brak położyć każdy ponad.
408	building	"plac Słowianska 736
89-994 Kędzierzyn-Koźle"	86	5	7746	Rana wtorek kto reakcja. Zjawisko wczesny wystawa zająć zdolność kwiecień.
409	flat	"al. Mickiewicza 36/95
82-895 Kraśnik"	24	2	8406	Hałas rada żywność gaz. Biuro wartość całkowicie sierpień wywoływać istnieć.
410	building	"al. Wspólna 837
81-691 Krosno"	142	8	9421	Ludność przynosić gatunek dodawać zupełnie. Cebula gdy cztery wybór pusty.
411	building	"al. Młyńska 85/14
75-635 Reda"	76	6	6840	Reakcja zbiór las zamiar uderzać ostatni jajko. A mój określony.
412	flat	"plac Szafirowa 08/28
16-357 Jaworzno"	46	4	8544	List pałac brzeg Hiszpania. Mieszkanka wolno cierpieć pora przyszłość kość. Chiński stopa fałszywy.
413	flat	"al. Tylna 429
26-807 Czeladź"	47	4	11442	Siódmy 0 samiec kura Chiny praca.
414	flat	"aleja Stawowa 89
56-796 Sandomierz"	56	4	11693	Łóżko musieć służba stanowisko on ulica łąka. Srebrny łąka fizyczny.
415	building	"aleja Orzeszkowej 63
17-080 Wałcz"	158	10	9655	Zamek pomieszczenie obiad minuta. Piętnaście penis płacić włoski kot.
416	building	"ulica Piękna 11/46
47-391 Luboń"	130	8	9454	Wydarzenie zmienić mleko kilka. Nasienie flaga pojęcie zmiana porządek.
417	flat	"pl. Wiślana 63
37-115 Pszczyna"	52	4	10388	Ciemny dźwięk konstrukcja udać się naukowiec sam. Szlachetny ubogi stolica.
418	flat	"ulica Jana III Sobieskiego 27
68-704 Kołobrzeg"	66	5	7685	Lód zachodni stawiać lew mało wewnętrzny. Skala powierzchnia metal tani lipiec przerwa terytorium.
419	flat	"ul. Sowia 202
05-430 Zgorzelec"	53	4	9080	Cierpienie kończyć męski pustynia. Złoto urodziny kościół potrzeba.
420	building	"plac Południowa 53
55-107 Świdnica"	148	10	9859	Samochodowy za pomocą ze południowy ochrona wejść.
421	flat	"pl. Czarnieckiego 647
20-221 Polkowice"	50	4	11837	Łąka władza nadzieja pieśń ryzyko teoria że koza. Nauczyciel suchy księga nieść obowiązek.
422	building	"aleja Drzymały 31/90
64-328 Sosnowiec"	99	7	7700	Podawać używać trzydziesty urzędnik. Graniczyć uznawać —.
423	flat	"al. Rajska 28
05-369 Kraków"	55	4	9492	Łóżko silnik polityk mur rada ulica. Spadek zanim armia.
424	flat	"ul. Orkana 452
99-874 Gliwice"	67	5	9526	We wschodni region. Strata niezwykły przechodzić rosnąć dokonać.
425	building	"ul. Poziomkowa 60/50
11-583 Legionowo"	110	6	7556	But piłka nożna specjalny pierwszy różnica. Jeśli klimat białoruski atmosfera.
426	flat	"plac Cegielniana 66
12-733 Tychy"	68	5	10998	Wyjść dlatego 60 słownik ludzie cmentarz. Surowy my zegar robotnik.
427	building	"al. Kazimierza Wielkiego 10
83-596 Grudziądz"	106	8	6139	Kolano budynek granica podobny kartka teatr. Skutek piec wino aby.
428	building	"al. Okulickiego 20
13-904 Żywiec"	92	7	5227	Tradycja podobny błoto oni strach. Tam nasiono dać się.
429	building	"aleja Urocza 113
57-366 Płock"	81	6	9743	Przedstawiciel artysta napisać rządzić czarny. Kult klient głowa służba wojskowy góra uderzać.
430	flat	"ulica Miodowa 80/02
03-175 Nowy Targ"	28	2	10310	Kieszeń przyrząd Polska Czechy kolej łóżko pięć.
431	flat	"aleja Prosta 72
76-605 Sosnowiec"	39	3	7100	80 zdrowy centralny samochodowy. Zgodny zainteresowanie graniczyć.
432	flat	"ul. Krasińskiego 87/41
27-919 Jarosław"	42	3	7442	Obraz waga srebro chłopak. Ulica skala zdrowy zazwyczaj kurs komputerowy.
433	building	"plac Wodna 214
68-546 Białogard"	153	10	6592	Graniczyć cena zaczynać. Ozdoba dokonać urodziny Egipt międzynarodowy zakres literacki.
434	flat	"ulica Olchowa 03
20-889 Police"	35	3	10403	Usa wystawa początek wieczór.
435	flat	"ul. Korczaka 77/69
33-795 Zduńska Wola"	67	5	7932	Trwały wyścig Szwecja. Drogi szkoda biały.
436	building	"aleja Drzymały 52
93-043 Inowrocław"	127	8	5089	Kolejny wiatr umrzeć Piotr mieszkaniec dać minerał republika.
437	flat	"plac Turystyczna 032
95-215 Wołomin"	36	3	8252	4 rola głęboki kierować wierzyć dzisiejszy.
438	flat	"plac Targowa 48
14-179 Poznań"	53	4	8845	Obok nawet kościelny.
439	building	"ul. Mieszka I 672
45-631 Łódź"	93	7	9561	Luty Dania uciec noc wypowiedź sprawiać metalowy nieprzyjemny.
440	building	"ul. Skargi 87
07-404 Mińsk Mazowiecki"	124	9	9788	Plama urodzić rozwój żelazo mężczyzna zdrowie pełny.
441	building	"ul. Kołłątaja 38/91
71-899 Bielawa"	91	6	7512	Prowincja myśleć informacja duch. Wschodni zadanie nauczyciel opowiadać oczywiście lata.
442	flat	"aleja Kolejowa 69
52-121 Tarnowskie Góry"	42	3	9692	Osiągnąć produkt męski wywoływać pić szkoda przybyć poznać.
443	flat	"ulica Jana 05/36
41-765 Żary"	33	3	9320	Trzydziesty łąka istnieć naród znaleźć mąż. Wina trzydziesty jądro kieszeń okres świątynia.
444	building	"aleja Srebrna 161
75-963 Tczew"	139	8	9003	Morze Śródziemne próbować łódź. Starać Się list nauka 90 proszę czeski Rumunia. Cichy ślub ziemia.
445	building	"al. Przechodnia 135
47-295 Piekary Śląskie"	114	7	6648	"Restauracja rodzic Afganistan kanał specjalista.
Kanał szlachetny sobota liść. - naród głęboki."
446	building	"ul. Orkana 98/42
52-203 Skierniewice"	145	10	9799	Profesor głowa zupa cierpieć bawić się. Obecny kolejowy szybko.
447	flat	"al. Młynarska 57/01
01-936 Ciechanów"	59	4	10608	Dziura drzwi pełnić burza. Nawet przybyć właśnie większy krzesło planeta.
448	building	"pl. Urocza 50/34
45-565 Lębork"	126	7	8867	Badanie lis czasownik postawić gazeta poprzedni ósmy. Strata lot tylko.
449	flat	"plac Floriana 433
18-203 Brodnica"	54	4	11931	Zdjęcie pragnienie gwałtowny stworzyć poduszka. Wyglądać strach instytucja radio.
450	flat	"ul. Bankowa 837
42-276 Biała Podlaska"	66	5	9726	Mały tajemnica wyjść poważny wiele arabski. Sowa zima uzyskać pełny na zewnątrz mąka jądro nazwa.
451	flat	"plac Cisowa 22
84-322 Kluczbork"	60	5	9586	Zakończenie nieprzyjemny przedsiębiorstwo. Figura styl dno płyn sytuacja wydawać się.
452	flat	"pl. Powstańców Śląskich 99/06
84-259 Łódź"	36	3	7403	Duch podawać działać zrobić czapka brzydki. Żeński finansowy szpital 100.
453	building	"ul. Głogowa 910
38-575 Rzeszów"	94	6	6211	Wywołać ojczyzna pełnić sprawiać. Sos dawno płyn. Pomieszczenie pióro znosić pogoda sen.
454	flat	"pl. Brzozowa 24
45-602 Świnoujście"	36	3	11177	Wyjście żołnierz za pierwszy. Student drzwi szczególny jeść.
455	building	"aleja Wrocławska 00/16
13-984 Knurów"	130	8	8976	Stawiać mocny rzadko wpływ aby. Minerał piłka nożna przypominać.
456	building	"ulica Kochanowskiego 326
12-363 Środa Wielkopolska"	112	7	5546	Dodatkowy grecki pokój. Teraz wywodzić się szwedzki pochodzenie.
457	flat	"al. Piłsudskiego 93
23-695 Rumia"	39	3	8045	Pieniądze żaba łyżka. Przyjemny wyrażać małpa sobą uczyć się.
458	building	"ulica Tylna 09
92-966 Kalisz"	125	8	5423	Gęś ulica palec. Temat środek zupełnie płaszcz.
459	building	"al. Kreta 20/75
88-756 Chorzów"	64	5	9763	Siostra mocno rodzaj.
460	building	"plac Stycznia 46
76-736 Pszczyna"	138	9	8160	Także samolot każdy przebywać zmieniać. Choroba informacja niż otaczać.
461	flat	"plac Kaszubska 18/29
11-845 Świętochłowice"	53	4	8901	Mi używać układ pióro ziemia tradycyjny moneta. Dzieło bok źródło jechać imię waluta wycieczka.
462	flat	"aleja Górna 913
04-389 Goleniów"	24	2	9817	Brązowy ludowy tył wybierać skała pokazywać. Naj- zacząć odpowiedni wolny okropny za pomocą.
463	flat	"ul. Chopina 17
83-614 Chorzów"	65	5	9903	Dziwny jednocześnie ! wspomnienie chrześcijański administracyjny źródło. Ze kraj w postaci plaża.
464	building	"ulica Jabłoniowa 644
45-419 Bartoszyce"	74	5	7718	Pewien żywność pojawić się wąski zawodowy jeść szklanka ogień.
465	building	"aleja Perłowa 18
61-947 Bytom"	106	7	7519	Minister kuchnia pięć chemiczny. Podnosić godzina skóra daleko. Sprzedaż dodawać procent wąski.
466	building	"pl. Władysława Jagiełły 88/06
88-926 Leszno"	134	8	7974	Ogromny piwo wysoki poznać wrażenie czasownik 60. Europa głód zmiana gwiazdozbiór mebel treść.
467	building	"ulica Wyzwolenia 78/61
25-955 Kielce"	124	7	9788	Żyć kąt radość pojazd pod wykonywać.
468	flat	"plac Krasińskiego 68
62-380 Nowy Dwór Mazowiecki"	50	4	11455	Głupek program kończyć gdy. Białoruski otworzyć wrogość Afryka budowla.
469	building	"plac Spółdzielcza 85/31
36-507 Zambrów"	131	9	8282	Obowiązywać Dania policzek poprzedni. No dziki wysłać but.
470	building	"ulica Ogrodowa 69/01
10-464 Kraśnik"	98	7	9070	Mama rzeczywistość bardzo chemiczny. Trzymać wróg czerwiec jakość potrzebny.
471	flat	"ul. Baczynskiego 02
44-735 Oleśnica"	66	5	10534	Św. aktor tworzyć. Wiosna nos partia nikt czekać. Bar równy ślub.
472	building	"al. Słoneczna 536
08-102 Suwałki"	165	10	9037	Ciekawy ulica filmowy łatwo nie- osiem. Jadalny siostra ulegać mieć na imię Izrael.
473	building	"al. Kolorowa 78/74
44-196 Jasło"	118	8	7242	Używać 900 słownik. 1000 badać sportowy uciec typ środowisko długo skończyć. Egipt scena aktor.
474	flat	"plac Turkusowa 71
01-947 Wejherowo"	53	5	7242	"Metalowy akt tył sportowy drobny opinia złoto.
Dokonać taki studiować film łąka niebezpieczny."
475	building	"al. Turkusowa 32
64-219 Stargard Szczeciński"	148	10	8282	Europejski bilet koniec duński stawiać tkanina wystawa muzyka.
476	building	"aleja Kwiatowa 86/28
86-632 Kłodzko"	151	10	9949	Ku charakter wybierać warstwa dane zmiana. Gniazdo obchodzić mieszkaniec zabawa.
477	building	"aleja Kosynierów 44/22
32-392 Włocławek"	83	6	5314	Świnia płaski szlachetny budynek Afganistan pisanie powoli. Prędkość obok pole sprzedaż.
478	flat	"al. Nałkowskiej 93
82-483 Oświęcim"	30	3	8366	Półwysep rynek zacząć. Otwór zarówno wodny filmowy.
479	building	"al. Wałowa 65/06
61-534 Płońsk"	67	5	6319	Kartka przejście przyprawa nagły zamykać mądry inaczej. Pomieszczenie wspaniały my badanie jechać.
480	building	"ulica Kruczkowskiego 38/09
51-619 Ruda Śląska"	146	9	8122	Sam pieśń ciało w czasie bajka badanie panna. Pszczoła lis sierpień pomoc bardzo cierpienie wzór.
481	building	"plac Kruczkowskiego 10/10
97-174 Gniezno"	96	6	5931	Umiejętność krótki w celu za pomocą wśród naród. Wszystkie koszula stary stacja.
482	flat	"al. Chopina 88/72
87-445 Mikołów"	29	2	7224	Podział mężczyzna kolega drzewo struktura. Użyć wyrok styl dzień ostatni.
483	flat	"aleja Północna 690
87-909 Dzierżoniów"	53	4	7713	Cienki spodnie wojna miasto struktura tracić Polska. Styczeń wyjść Chiny ogół wyglądać.
484	building	"pl. Stawowa 42/63
56-612 Jarocin"	117	7	7457	Poprzez sobą zdrowie pozwalać ból. Osoba bydło rozmawiać smak ochrona.
485	building	"pl. Zielona 71/62
59-677 Zamość"	93	7	8513	Posiłek włosy efekt grzyb następny dzielnica. Zarówno wartość niech śmiać się pociąg.
486	building	"aleja Cedrowa 96
27-214 Swarzędz"	143	10	6968	Poruszać herb wszelki gospodarka fakt. Że wybierać rak rynek trzy. Pożar nieść szczyt.
487	flat	"aleja Letnia 24/69
03-901 Nowy Dwór Mazowiecki"	49	4	7468	Pismo już właściciel czwartek wesoły głód ubogi.
488	flat	"ul. Wschodnia 02/93
43-770 Piekary Śląskie"	21	2	8732	Dania konflikt żona założyć wrażenie wilk pomieszczenie. Rosja kuchnia tor użycie pamiętać dodać.
489	building	"ul. Kochanowskiego 10/79
28-068 Bochnia"	105	7	6025	Seks jądro żeński pisarz państwo. Pomóc błąd wynosić dokonać.
490	flat	"pl. Słonecznikowa 087
64-251 Radomsko"	24	2	9762	Południowy polować odnosić się sobie. Muzyczny zawartość duch wszelki trzeba zazwyczaj.
491	building	"ulica Chełmońskiego 13/11
26-057 Poznań"	135	9	6468	Wszystek szybki zrozumieć. Miejsce prawo las kontakt działać deska.
492	building	"plac Lipowa 523
91-143 Jarosław"	129	9	6156	Wydawać pomysł pięćdziesiąt przyprawa. Drzwi jedyny żelazo kończyć sam Dania dokładny.
493	flat	"al. Żeglarska 86/92
67-247 Starogard Gdański"	52	4	9354	Słoneczny spokój kosz zwycięstwo zacząć. Moment podstawa specjalny świat.
494	building	"ulica Zakole 224
02-620 Sanok"	106	8	7832	Wiatr kiedyś nazwa słońce.
495	flat	"al. Klonowa 34
01-008 Kalisz"	62	5	9696	Piotr ciecz informacja dać się prawy. Nocny mój wychodzić azjatycki one.
496	building	"ulica Strażacka 06/49
06-651 Jarosław"	142	9	8153	Polegać pieniądz Czechy wybierać. Ozdoba wysokość ciąża Bóg dość bardzo.
497	building	"al. Tęczowa 194
03-023 Zielona Góra"	119	8	8807	Kwiat itp. dziura napisać. Egipt brzydki mocno szpital wiedza trzymać.
498	flat	"plac Brzozowa 45/04
80-074 Otwock"	66	5	11331	Matka szanowny na zewnątrz. Farba zdrowie fotografia mecz zero zając.
499	building	"ul. Zielona 702
44-086 Łuków"	68	5	8919	Gaz naj- partia sposób klucz średni. Ucho kiedyś gorączka flaga.
500	flat	"ulica Kościelna 70
82-804 Zabrze"	29	2	8244	"Wino osiem wysoki możliwość. Szyja morze lis termin.
W Końcu przynieść piosenka przebywać od."
501	building	"aleja Letniskowa 68/84
06-850 Marki"	140	9	8429	Własność intensywny studia. Obowiązywać muzyk handel tekst pomarańczowy zaraz mózg tytoń.
502	flat	"plac Poniatowskiego 418
77-422 Kędzierzyn-Koźle"	56	5	9838	Papieros dany przyszłość nasz przypominać. Dusza śmierć przyjaciel kosztować ciekawy.
503	flat	"ul. Podleśna 418
78-636 Świdnica"	50	4	10434	Ogród powinien biec więcej lata. Chiński telewizyjny kult opuścić zły wykorzystywać dwa.
504	flat	"ulica Sucharskiego 84/36
24-417 Stargard Szczeciński"	65	5	10715	Płyta północny za. Określać zwierzę stosować siostra.
505	flat	"aleja Sadowa 81/71
39-488 Mysłowice"	49	4	9988	Dość duński tyle. Tak zakład pomagać pas przyjąć.
506	building	"pl. Wrocławska 520
48-521 Chojnice"	145	10	7067	Bułgarski dotyczyć chociaż ciągnąć złożony mowa. Cel dziki akt samica dwa składać.
507	flat	"al. Truskawkowa 39
73-877 Tarnobrzeg"	23	2	7535	Bieda cztery charakter skutek.
508	building	"ul. Ogrodowa 21
09-983 Szczecin"	105	7	7545	System prezydent łaciński udział.
509	building	"ulica Browarna 75/78
02-175 Piekary Śląskie"	73	5	6443	30 spać męski pisarz wpływ połowa akcja. Dwudziesty podnosić blady sztuka but.
510	building	"aleja Zachodnia 19/35
19-862 Nowa Ruda"	90	6	5114	Trzy wykonanie kłaść. Bóg cukier Ameryka łatwo fotografia Bóg obwód.
511	building	"plac Chabrowa 17
26-904 Włocławek"	153	10	9018	R. zobaczyć stracić według okoliczność polityk intensywny. Flaga krok kraj Jezus wytwarzać.
512	building	"ulica Orzechowa 37/59
36-646 Żary"	122	8	5967	Ozdoba znosić przeznaczyć grupa oni żeby czyjś. Chociaż bardzo pan. Mowa japoński ślub całkowicie.
513	flat	"ulica Baczynskiego 13
91-105 Świecie"	47	4	11552	Wisieć określenie za handlowy kaczka Rumunia miękki zupa. Kolumna lew poprzedni rasa.
514	building	"plac Nadrzeczna 57/76
39-817 Gniezno"	85	6	8349	Procent zając miejski próba suma ku długość. Pszczoła padać otwierać.
515	building	"plac Borowa 80
11-921 Rybnik"	97	6	7842	Płaszcz więzienie zwierzę niebieski brat czterdzieści łódź. Gleba cesarz wysyłać.
516	building	"ul. Orkana 84/43
01-116 Łódź"	129	9	7453	Rok kura drewno ziemski. Obrona wychodzić morze. Wnętrze badać Żyd litera wczesny epoka Chiny.
517	building	"plac Norwida 406
34-340 Bochnia"	153	10	7926	Połączyć dwa odbywać się znany. Szwajcaria otwierać tylko dzieło szkoda.
518	building	"ulica Sokola 091
76-280 Bielawa"	88	6	9029	Nos liczba atomowa związany miecz śpiewać.
519	flat	"aleja Orzeszkowej 325
22-345 Siedlce"	63	5	7557	Przeszkoda ukraiński słoneczny żeński. Nasz mocno zysk czerwony gęsty wyjście wojskowy.
520	building	"plac Długosza 86
16-593 Mikołów"	92	6	5574	Sąd 900 gałąź pytać wewnątrz sąsiad. Sto skrzydło połowa istnienie przyjaźń u móc bułgarski.
521	building	"aleja Narcyzowa 35
53-020 Piotrków Trybunalski"	165	10	9587	Zmęczony otwierać grunt dyrektor. Pieniądz wąski włoski Europa centrum.
522	building	"al. Jadwigi 050
21-168 Oświęcim"	102	8	6258	Dwadzieścia kara religijny pisanie. Studiować wyspa przyjechać pisać Francja.
523	building	"plac Sportowa 30
27-001 Poznań"	146	10	5659	Srebro babka proces sąsiad Ameryka październik rzucić. Uczyć wolno pragnienie jeśli.
524	flat	"aleja Kielecka 29/20
49-895 Lębork"	43	4	7443	Kura chcieć wybierać. Oznaczać nazywać powszechny gęsty obywatel mecz.
525	building	"plac Poprzeczna 059
42-716 Rumia"	98	6	5943	Oddawać mocz polegać 2 babka.
526	flat	"pl. Wierzbowa 927
66-485 Kłodzko"	37	3	7533	Owoc dany płyta ojczyzna poprzedni uchodzić. Rachunek urodzić zrozumieć oba straszny kosztować.
527	flat	"pl. Nadrzeczna 44
54-285 Ostrowiec Świętokrzyski"	70	5	10482	Utrzymywać flaga pomysł koszt.
528	flat	"aleja Boczna 003
12-621 Tarnobrzeg"	35	3	7996	Umysł straszny 9 dziewiąty dziób.
529	flat	"ul. Leszczynowa 29/93
61-973 Gorlice"	65	5	10892	Pan utrzymywać aby katastrofa żołądek umowa. Starać Się gość nagły inny potrzebny mieszkaniec.
530	building	"aleja Brzoskwiniowa 58
90-667 Siemianowice Śląskie"	94	7	5763	Różowy krew wrogość kultura książę wybitny. Zabić dwanaście dusza krowa wyraz.
531	building	"ul. Ceglana 79/31
01-039 Szczytno"	77	6	5085	Bogactwo miejscowość dużo 10 spowodować towar wy. Mysz starać się walczyć oddział r. kobieta kosz.
532	building	"al. Gałczynskiego 81/64
77-567 Tarnowskie Góry"	113	7	8488	Zdolność cień istnienie wizyta nazywać pamiętać sieć pojechać.
533	flat	"ulica Dworska 87
37-789 Żywiec"	26	2	9584	Podstawa obywatel mebel oznaczać przeciwny ku. Narodowość umysł terytorium koszt księga.
534	building	"pl. Ceglana 560
57-696 Koło"	123	9	5474	Ktoś ten trzydziesty ciągle. Zabić prostytutka szkolny babcia powinien mysz rak.
535	flat	"ul. Strażacka 66
25-958 Myszków"	60	5	9429	Minuskuła świeży literacki składnik miara. Różny te motyl gaz ryba korzyść.
536	flat	"aleja Graniczna 83/05
95-843 Tarnów"	42	3	10227	Ci wzrost doprowadzić szary brat masa 1000. Przestępstwo szkoła banknot wyrób.
537	flat	"ulica Sybiraków 921
05-362 Zawiercie"	33	3	8907	Sztuczny bronić alkohol robota. Rower żart tajemnica wola próba wąski pokryć.
538	building	"ulica Wspólna 07/61
79-841 Police"	73	5	8449	Płaski słownik stawać się książka także skład. Przyjaciel ładny żołądek zwyczaj żywność opuścić.
539	building	"pl. Listopada 284
03-417 Starogard Gdański"	122	9	6980	Dokładny ? przeciw złodziej amerykański pojęcie aż.
540	flat	"plac Jesienna 951
18-295 Elbląg"	63	5	7005	Porządek papież siostra tu wyjść koszula.
541	building	"plac Wyszyńskiego 76/96
31-917 Przemyśl"	145	9	9162	Uderzyć sądowy 40 prawda wchodzić wola od słaby.
542	building	"plac Orzeszkowej 75
42-062 Skarżysko-Kamienna"	99	6	5382	Wartość srebrny umiejętność. No linia Bóg aż. Stary zgodny jakiś. Babcia gość dzieło przyszły.
543	flat	"al. Gałczynskiego 75
06-301 Wołomin"	54	4	10416	Niech zaraz czasownik. Treść wytwarzać seks strata pomiędzy potrzebny Hiszpania.
544	building	"aleja Wodna 33
04-498 Świebodzice"	84	5	8611	Żona trudno reguła tytoń.
545	flat	"al. Borowa 87
50-122 Nowa Ruda"	43	3	11136	Godzina wyrażać świeży walka usta ruch należy. Przebywać woda przeszkoda szeroki uśmiech.
546	flat	"plac Wyzwolenia 90/69
14-364 Tczew"	67	5	9404	Zrobić tkanina przeciwny gość strona. Połączenie przeznaczyć musieć.
547	building	"ul. Młyńska 18/36
20-230 Czerwionka-Leszczyny"	126	8	8074	Prawdziwy następować zniszczyć. Biuro krok fizyczny wywodzić się gaz wschód aktywny.
548	building	"ul. Jastrzębia 66/87
58-931 Zduńska Wola"	133	9	6526	Związek odbywać się stół chłop zajmować się traktować obcy.
549	flat	"ulica Wypoczynkowa 952
74-452 Łuków"	38	3	8707	Stać wczoraj początek środa piętnaście odcień.
550	flat	"ul. Sybiraków 85/96
37-702 Kraśnik"	36	3	9463	Kobieta rzucać dziecięcy wolno śnieg bohater przeciwnik kierowca.
551	building	"aleja Wróblewskiego 572
48-399 Rybnik"	142	10	7430	Lekcja prawda naturalny. Zmienić doskonały elektryczny przeciwnik.
552	building	"aleja Kolorowa 268
70-442 Kutno"	115	8	6742	Poprzedni stolica potem świat miejski. Piotr zacząć ciężar wziąć.
553	building	"pl. Łanowa 13/78
63-116 Chrzanów"	142	9	7641	Niski dobrze angielski bieg robić. Średni albo liczyć.
554	flat	"aleja Głogowa 23
76-516 Przemyśl"	21	2	9040	Dwa otwarty lód jezioro przypominać. Mądry dowód pies wielkość smutny.
555	flat	"ul. Listopada 26/16
58-846 Pruszków"	47	4	8914	Uczyć bardzo osiem po prostu dziki produkcja. Umysł Litwa większość czwartek poczta pomagać płynąć.
556	flat	"ul. Przechodnia 53
34-777 Wieluń"	39	3	10066	Dalej stolica powstać temperatura przyjemny złoto radość katolicki. Chłop żaba prąd rodzina.
